customerkey,Fullname,age,yearlyincome,numberchildrenathome,englisheducation,englishoccupation,numbercarsowned,City,Gender,MaritalStatus
11208,Maria Reed,69,60000.00,1,Bachelors,Management,0,Glendale,Female,Married
11209,Allison Evans,69,60000.00,1,Bachelors,Management,0,Lincoln Acres,Female,Married
11210,Edward Wood,69,70000.00,1,Partial College,Professional,2,West Covina,Male,Married
11211,Samantha Russell,62,40000.00,1,High School,Professional,2,Haney,Female,Married
11212,Chloe Campbell,67,40000.00,1,High School,Professional,2,Metchosin,Female,Married
11213,Stephanie Murphy,68,60000.00,1,Partial College,Professional,2,Edmonds,Female,Single
11214,Charles Miller,67,60000.00,1,Partial College,Professional,2,Milwaukie,Male,Single
11215,Ana Perry,61,40000.00,1,Partial High School,Skilled Manual,2,Royal Oak,Female,Married
11216,Jasmine Torres,65,60000.00,1,Partial College,Professional,2,Portland,Female,Single
11217,Natalie Adams,65,60000.00,1,Partial College,Professional,2,Portland,Female,Single
11218,Olivia Brown,61,60000.00,1,Partial College,Professional,2,Tacoma,Female,Single
11219,Charles Cook,66,60000.00,1,High School,Professional,2,Woodburn,Male,Married
11220,Erica Huang,61,60000.00,1,Partial College,Professional,1,Colma,Female,Married
11221,Nathan Perry,67,70000.00,2,Partial College,Professional,1,Lakewood,Male,Married
11222,Alexandra Rivera,66,80000.00,1,Bachelors,Management,1,Santa Monica,Female,Married
11223,Hailey Patterson,65,70000.00,1,High School,Professional,2,Langley,Female,Single
11224,Tiffany Li,63,70000.00,1,High School,Professional,2,Burien,Female,Single
11225,Madison Lee,60,60000.00,1,Partial College,Professional,1,Renton,Female,Married
11226,Sydney Ross,60,60000.00,1,Partial College,Professional,1,W. Linn,Female,Married
11227,Marshall Chavez,58,60000.00,1,Partial College,Professional,2,Colma,Male,Single
11228,Ashley Jones,66,60000.00,1,Partial College,Professional,2,El Cajon,Female,Married
11229,Adrian Stewart,65,70000.00,2,Partial College,Professional,1,Redwood City,Male,Single
11230,Amber Turner,66,70000.00,2,Partial College,Professional,2,Santa Monica,Female,Married
11231,Dennis Zhang,59,60000.00,1,High School,Professional,2,Bremerton,Male,Married
11232,Hailey Bryant,64,60000.00,1,High School,Professional,2,Everett,Female,Married
11233,Todd Li,59,70000.00,2,Partial College,Professional,2,Berkeley,Male,Married
11234,Anna Griffin,64,70000.00,2,Partial College,Professional,2,Long Beach,Female,Single
11235,Angel Stewart,65,70000.00,2,Partial College,Professional,2,Ballard,Male,Married
11236,Jeremy Butler,65,70000.00,2,Partial College,Professional,2,Bellingham,Male,Single
11237,Clarence Anand,56,130000.00,3,Bachelors,Management,4,Solingen,Male,Single
11238,Mayra Prasad,56,130000.00,3,Bachelors,Management,4,Birmingham,Female,Single
11239,Latoya Goel,51,130000.00,4,Partial College,Professional,2,London,Female,Married
11240,Anne Hernandez,56,160000.00,3,Partial College,Professional,4,Watford,Female,Married
11241,Lisa Cai,47,100000.00,3,Partial College,Professional,4,Les Ulis,Female,Single
11242,Larry Munoz,58,110000.00,4,Partial College,Professional,3,Versailles,Male,Married
11243,Robin Alvarez,57,150000.00,3,Partial College,Professional,3,Esher-Molesey,Female,Married
11244,Alexis Coleman,52,170000.00,3,Bachelors,Management,3,Runcorn,Female,Single
11245,Ricky Vazquez,58,120000.00,4,High School,Professional,4,Hamburg,Male,Married
11246,Latasha Rubio,58,120000.00,4,High School,Professional,4,Hamburg,Female,Married
11247,Claudia Zhou,59,130000.00,4,Partial College,Professional,3,Lancaster,Female,Single
11248,Tristan Alexander,56,110000.00,4,Partial College,Professional,4,Saint-Denis,Male,Married
11249,Cindy Patel,54,130000.00,4,Partial College,Professional,3,Sulzbach Taunus,Female,Married
11250,Shannon Liu,54,170000.00,4,High School,Professional,2,Woolston,Female,Married
11251,Xavier Long,84,30000.00,0,High School,Professional,2,Haney,Male,Single
11252,Nicholas Thompson,83,90000.00,0,Graduate Degree,Management,1,Lemon Grove,Male,Single
11253,José Hernandez,73,60000.00,0,Graduate Degree,Management,2,Victoria,Male,Married
11254,Johnathan Vance,84,70000.00,0,Graduate Degree,Management,2,Burien,Male,Married
11255,Colin Lin,84,70000.00,0,Graduate Degree,Management,2,Burien,Male,Married
11256,Katelyn Hernandez,83,70000.00,0,Graduate Degree,Management,2,Lynnwood,Female,Married
11257,Jacqueline Powell,82,120000.00,2,Graduate Degree,Management,4,Newport Beach,Female,Single
11258,Xavier Hill,84,120000.00,2,Graduate Degree,Management,4,Palo Alto,Male,Married
11259,Victoria Stewart,50,100000.00,1,Partial College,Professional,4,Salem,Female,Married
11260,Katelyn Kelly,46,110000.00,2,Bachelors,Management,3,Burlingame,Female,Married
11261,Stephanie Collins,50,130000.00,2,Graduate Degree,Management,1,San Diego,Female,Married
11262,Jennifer Simmons,47,80000.00,3,Bachelors,Management,0,Port Hammond,Female,Married
11263,Trinity Richardson,50,90000.00,5,Partial College,Professional,3,Burien,Female,Married
11264,Eduardo Martin,53,90000.00,5,Partial College,Professional,3,Issaquah,Male,Single
11265,Elizabeth Jones,52,90000.00,5,Partial College,Professional,3,Kirkland,Female,Married
11266,Taylor Howard,51,90000.00,0,Partial College,Professional,1,Port Orchard,Female,Single
11267,David Diaz,45,120000.00,2,Partial College,Professional,4,Burlingame,Male,Single
11268,Katelyn Carter,53,130000.00,2,Graduate Degree,Management,2,Coronado,Female,Married
11269,Ryan Foster,47,130000.00,2,Graduate Degree,Management,2,Daly City,Male,Married
11270,Robert Lee,45,130000.00,2,Graduate Degree,Management,3,Lakewood,Male,Married
11271,Danielle Reed,51,150000.00,0,Bachelors,Management,4,San Francisco,Female,Single
11272,Lauren Martinez,58,70000.00,3,Partial College,Professional,0,Beverly Hills,Female,Single
11273,Nathan Lal,60,90000.00,1,Partial College,Professional,0,La Jolla,Male,Married
11274,Kyle Foster,81,50000.00,0,Graduate Degree,Management,2,Bellingham,Male,Married
11275,Jenny Rai,81,80000.00,0,Graduate Degree,Management,2,Colma,Female,Married
11276,Nancy Chapman,48,80000.00,3,Partial College,Professional,2,Cliffside,Female,Married
11277,Charles Jackson,54,80000.00,3,Partial College,Professional,2,Royal Oak,Male,Married
11278,Jonathan Phillips,51,90000.00,0,Partial College,Professional,1,Edmonds,Male,Single
11279,Amanda Cook,48,90000.00,0,Partial College,Professional,1,Everett,Female,Married
11280,Robert Collins,53,90000.00,0,Partial College,Professional,1,Lynnwood,Male,Married
11281,Megan Barnes,46,110000.00,2,Bachelors,Management,4,Burbank,Female,Single
11282,Christian Thomas,53,90000.00,4,Partial College,Professional,4,Burien,Male,Married
11283,Arturo Lal,54,110000.00,3,Bachelors,Management,2,Berkeley,Male,Married
11284,Theresa Serrano,55,110000.00,3,Bachelors,Management,2,Chula Vista,Female,Married
11285,Jeremy Anderson,49,120000.00,3,Partial College,Professional,4,Fremont,Male,Married
11286,Hunter Griffin,53,170000.00,0,Graduate Degree,Management,4,Torrance,Male,Married
11287,Henry Garcia,56,70000.00,4,Partial College,Professional,3,Cliffside,Male,Married
11288,Cindy Sanchez,44,110000.00,3,Bachelors,Management,3,Burbank,Female,Married
11289,Maria Carter,48,130000.00,3,Bachelors,Management,1,Downey,Female,Married
11290,Katelyn Sanchez,48,130000.00,3,Bachelors,Management,3,Lakewood,Female,Married
11291,Jenna Wright,48,130000.00,3,Bachelors,Management,3,Lemon Grove,Female,Married
11292,Seth Phillips,53,150000.00,2,Partial College,Professional,3,San Gabriel,Male,Single
11293,Luke Long,62,60000.00,0,High School,Professional,2,Port Orchard,Male,Single
11294,Dalton Clark,61,60000.00,0,High School,Professional,2,Issaquah,Male,Married
11295,Taylor Lewis,61,80000.00,0,Partial High School,Skilled Manual,2,Concord,Female,Single
11296,Haley Richardson,79,50000.00,0,Graduate Degree,Management,2,Everett,Female,Single
11297,Noah Coleman,80,70000.00,0,Graduate Degree,Management,2,Burbank,Male,Single
11298,Jon Luo,80,70000.00,0,Graduate Degree,Management,2,Chula Vista,Male,Married
11299,Orlando Vazquez,79,70000.00,0,Graduate Degree,Management,2,Burbank,Male,Married
11300,Fernando Barnes,57,80000.00,4,Partial College,Professional,3,N. Vancouver,Male,Married
11301,Cameron Rodriguez,57,80000.00,4,Partial College,Professional,4,Ballard,Male,Married
11302,Spencer Russell,49,90000.00,3,High School,Professional,3,Corvallis,Male,Single
11303,Julia Coleman,54,90000.00,3,High School,Professional,3,Edmonds,Female,Single
11304,Julia Garcia,51,100000.00,3,Partial College,Professional,0,Portland,Female,Married
11305,Sean Evans,57,110000.00,3,Partial College,Professional,4,Chula Vista,Male,Married
11306,Micah Zhou,57,110000.00,3,Partial College,Professional,4,Coronado,Male,Married
11307,Hunter Rodriguez,55,80000.00,0,Partial High School,Skilled Manual,2,Daly City,Male,Married
11308,Ian Gonzales,63,60000.00,0,High School,Professional,2,Oregon City,Male,Married
11309,Victoria Lewis,63,60000.00,0,High School,Professional,2,Beaverton,Female,Single
11310,Erin Sanders,58,70000.00,0,Graduate Degree,Management,2,San Francisco,Female,Single
